Cropping_situation;Crop;Asso_pure;Site;Year;Yields;N_fertilization_rate;Sowing_date;Sowing_density;PAWC;Soil_N_organic;Interrang;tot_rainfall;veg_rainfall;rep_rainfall;critical_rainfall;nb_days_60;nb_days_0;max_days_0
Sene_milt_2008_N0;Millet;pure;Senegal;2008;1.03838;0;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2008_N1;Millet;pure;Senegal;2008;1.26111;20;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2008_N2;Millet;pure;Senegal;2008;1.4981;40;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2008_N3;Millet;pure;Senegal;2008;1.72507;60;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2008_N4;Millet;pure;Senegal;2008;1.91752;80;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2008_N5;Millet;pure;Senegal;2008;2.08395;100;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2008_N6;Millet;pure;Senegal;2008;2.12918;120;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2008_N7;Millet;pure;Senegal;2008;2.12953;140;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2008_N8;Millet;pure;Senegal;2008;2.12964;160;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2008_N9;Millet;pure;Senegal;2008;2.12974;180;230;1.23;191.250;0.03;1.3;470.2;450.9;19.3;42.8;1;51;14
Sene_milt_2009_N0;Millet;pure;Senegal;2009;1.37175;0;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2009_N1;Millet;pure;Senegal;2009;1.59073;20;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2009_N2;Millet;pure;Senegal;2009;1.80696;40;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2009_N3;Millet;pure;Senegal;2009;2.00909;60;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2009_N4;Millet;pure;Senegal;2009;2.17002;80;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2009_N5;Millet;pure;Senegal;2009;2.24754;100;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2009_N6;Millet;pure;Senegal;2009;2.24764;120;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2009_N7;Millet;pure;Senegal;2009;2.24774;140;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2009_N8;Millet;pure;Senegal;2009;2.24781;160;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2009_N9;Millet;pure;Senegal;2009;2.24788;180;230;1.23;191.250;0.03;1.3;359.7;348.5;11.2;0;0;50;32
Sene_milt_2010_N0;Millet;pure;Senegal;2010;1.1723;0;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2010_N1;Millet;pure;Senegal;2010;1.36726;20;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2010_N2;Millet;pure;Senegal;2010;1.56393;40;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2010_N3;Millet;pure;Senegal;2010;1.74823;60;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2010_N4;Millet;pure;Senegal;2010;1.87659;80;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2010_N5;Millet;pure;Senegal;2010;1.9782;100;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2010_N6;Millet;pure;Senegal;2010;1.98907;120;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2010_N7;Millet;pure;Senegal;2010;1.98909;140;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2010_N8;Millet;pure;Senegal;2010;1.98937;160;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2010_N9;Millet;pure;Senegal;2010;1.98938;180;230;1.23;191.250;0.03;1.3;431.9;400;31.9;66.4;1;54;14
Sene_milt_2011_N0;Millet;pure;Senegal;2011;1.40517;0;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
Sene_milt_2011_N1;Millet;pure;Senegal;2011;1.6848;20;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
Sene_milt_2011_N2;Millet;pure;Senegal;2011;1.92879;40;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
Sene_milt_2011_N3;Millet;pure;Senegal;2011;2.10398;60;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
Sene_milt_2011_N4;Millet;pure;Senegal;2011;2.10404;80;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
Sene_milt_2011_N5;Millet;pure;Senegal;2011;2.10411;100;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
Sene_milt_2011_N6;Millet;pure;Senegal;2011;2.10443;120;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
Sene_milt_2011_N7;Millet;pure;Senegal;2011;2.10449;140;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
Sene_milt_2011_N8;Millet;pure;Senegal;2011;2.10455;160;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
